ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-06-14,6775.102323855536,4601.112764280686,9165.012578150254,4612.9093055672365,9177.611524141803,-11.957339367677504,-11.957339367677504,-11.957339367677504,-11.957339367677504,-11.957339367677504,-11.957339367677504,0.0,0.0,0.0,6763.144984487859
2020-06-15,6808.4201819723585,4296.817201465254,9686.851587022527,4193.067121624555,9583.517188810747,103.57806290612065,103.57806290612065,103.57806290612065,103.57806290612065,103.57806290612065,103.57806290612065,0.0,0.0,0.0,6911.998244878479
2020-06-16,6841.738040089181,4022.1866827626027,10279.1005159817,3882.4243930665602,10138.714116820174,140.5033622650252,140.5033622650252,140.5033622650252,140.5033622650252,140.5033622650252,140.5033622650252,0.0,0.0,0.0,6982.241402354206
2020-06-17,6875.055898206002,3451.137252569951,10685.689246255686,3444.3602297563802,10679.272089195203,6.704144509719732,6.704144509719732,6.704144509719732,6.704144509719732,6.704144509719732,6.704144509719732,0.0,0.0,0.0,6881.760042715721
2020-06-18,6908.373756322824,3086.716189847857,11115.4509574385,3165.3784650058383,11194.067796511215,-78.82915906870024,-78.82915906870024,-78.82915906870024,-78.82915906870024,-78.82915906870024,-78.82915906870024,0.0,0.0,0.0,6829.544597254124
2020-06-19,6941.6916144396455,2382.0481823118494,11631.585625308866,2528.835688617067,11777.998583224062,-146.43602371862667,-146.43602371862667,-146.43602371862667,-146.43602371862667,-146.43602371862667,-146.43602371862667,0.0,0.0,0.0,6795.255590721019
2020-06-20,6975.009472556468,1990.9253564904452,12355.259663593246,2004.7487109379795,12368.90837980992,-13.563047526472614,-13.563047526472614,-13.563047526472614,-13.563047526472614,-13.563047526472614,-13.563047526472614,0.0,0.0,0.0,6961.446425029995
2020-06-21,7008.32733067329,1393.0727642880618,13035.216641333514,1404.9887780153038,13046.727462763323,-11.957339367586892,-11.957339367586892,-11.957339367586892,-11.957339367586892,-11.957339367586892,-11.957339367586892,0.0,0.0,0.0,6996.369991305703
2020-06-22,7041.645188790111,924.2278795919301,13729.472256836832,820.5777683382842,13626.070475001054,103.57806290637185,103.57806290637185,103.57806290637185,103.57806290637185,103.57806290637185,103.57806290637185,0.0,0.0,0.0,7145.223251696483
2020-06-23,7074.963046906933,290.5668941662262,14445.64033432811,150.7113226169946,14305.121553900552,140.50336226530672,140.50336226530672,140.50336226530672,140.50336226530672,140.50336226530672,140.50336226530672,0.0,0.0,0.0,7215.46640917224
2020-06-24,7108.280905023756,-462.5451259002021,15060.789976611395,-469.0386895000069,15053.732471322903,6.704144509555219,6.704144509555219,6.704144509555219,6.704144509555219,6.704144509555219,6.704144509555219,0.0,0.0,0.0,7114.985049533311
2020-06-25,7141.598763140577,-1103.8663058422553,15711.692959531376,-1024.7566992806362,15790.521605093409,-78.82915906841363,-78.82915906841363,-78.82915906841363,-78.82915906841363,-78.82915906841363,-78.82915906841363,0.0,0.0,0.0,7062.769604072163
2020-06-26,7174.916621257399,-1864.1757154700429,16259.205216769535,-1717.9863670866407,16405.498096962714,-146.43602371858879,-146.43602371858879,-146.43602371858879,-146.43602371858879,-146.43602371858879,-146.43602371858879,0.0,0.0,0.0,7028.48059753881
2020-06-27,7208.23447937422,-2276.6139199922427,17032.918426344728,-2262.7453711119124,17045.736389859838,-13.563047526353985,-13.563047526353985,-13.563047526353985,-13.563047526353985,-13.563047526353985,-13.563047526353985,0.0,0.0,0.0,7194.671431847866
2020-06-28,7241.552337491043,-2956.807386532293,17673.483607500224,-2945.075873968165,17685.30633181765,-11.95733936768364,-11.95733936768364,-11.95733936768364,-11.95733936768364,-11.95733936768364,-11.95733936768364,0.0,0.0,0.0,7229.594998123359
2020-06-29,7274.870195607865,-3552.9383858782244,18542.135117026144,-3656.0536294737544,18438.67047813619,103.57806290638145,103.57806290638145,103.57806290638145,103.57806290638145,103.57806290638145,103.57806290638145,0.0,0.0,0.0,7378.448258514246
2020-06-30,7308.188053724686,-4153.919437778953,19453.866632202153,-4294.528450744872,19313.77483160131,140.50336226509225,140.50336226509225,140.50336226509225,140.50336226509225,140.50336226509225,140.50336226509225,0.0,0.0,0.0,7448.691415989779
2020-07-01,7341.505911841508,-4948.086362902058,19977.90788519714,-4954.827683928857,19970.94110083036,6.704144509834165,6.704144509834165,6.704144509834165,6.704144509834165,6.704144509834165,6.704144509834165,0.0,0.0,0.0,7348.210056351342
2020-07-02,7374.82376995833,-5834.462752145878,20735.63134359507,-5756.224827619942,20814.32020431547,-78.82915906844332,-78.82915906844332,-78.82915906844332,-78.82915906844332,-78.82915906844332,-78.82915906844332,0.0,0.0,0.0,7295.994610889887
2020-07-03,7408.141628075151,-6792.993800922597,21448.153562022468,-6646.014335229692,21594.980468668422,-146.43602371853652,-146.43602371853652,-146.43602371853652,-146.43602371853652,-146.43602371853652,-146.43602371853652,0.0,0.0,0.0,7261.7056043566145
2020-07-04,7441.459486191974,-7307.286435366391,22466.423562910357,-7293.657857967706,22479.850877704186,-13.563047526427336,-13.563047526427336,-13.563047526427336,-13.563047526427336,-13.563047526427336,-13.563047526427336,0.0,0.0,0.0,7427.896438665547
2020-07-05,7474.777344308795,-7657.647604120374,23315.634588268473,-7645.596598332703,23327.392662797454,-11.957339367405675,-11.957339367405675,-11.957339367405675,-11.957339367405675,-11.957339367405675,-11.957339367405675,0.0,0.0,0.0,7462.82000494139
2020-07-06,7508.095202425618,-8158.075457052673,24087.870874240794,-8261.737859044559,23984.081823868084,103.57806290603527,103.57806290603527,103.57806290603527,103.57806290603527,103.57806290603527,103.57806290603527,0.0,0.0,0.0,7611.673265331653
